FID,CODCALLE,TEXTO,GRUPO,CAPACIDAD,PTO_REC,UTM_X,UTM_Y,GRAD_X,GRAD_Y
0.0,11044,CALLE RAMON Y CAJAL,4.0,120.0,E0001,376617.024957,3149497.12189,-16.2602903666,28.4662250238
1.0,20395,CALLE LEGAZPI,2.0,120.0,E0002,376513.249638,3148708.32184,-16.2612656383,28.4590966807
2.0,20623,CALLE JOSE HERNANDEZ ALFONSO,4.0,120.0,E0003,377230.450624,3148819.90543,-16.2539536402,28.4601713783
3.0,10307,CALLE SAN FERNANDO,5.0,120.0,E0004,377578.353561,3150456.72571,-16.2505748261,28.4749756023
4.0,10114,CALLE LA ROSA,4.0,120.0,E0005,377690.934512,3150104.15473,-16.2493875605,28.4718043889
5.0,40821,CTRA LOS CAMPITOS,1.0,120.0,E0006,376599.795922,3151416.16738,-16.2606719424,28.4835417751
6.0,30896,CALLE FEBLES CAMPOS,3.0,120.0,E0007,376094.36874,3149852.37981,-16.2656661583,28.4693814737
7.0,22301,CALLE SAN JUAN DE LA RAMBLA,3.0,120.0,E0008,374927.342828,3149931.89645,-16.2775932587,28.4699876248
8.0,21963,CALLE GUIA DE ISORA,3.0,120.0,E0009,375426.006682,3150335.87827,-16.2725442277,28.4736810814
9.0,21963,CALLE GUIA DE ISORA,3.0,120.0,E0010,375398.329574,3150293.73925,-16.2728223379,28.473298155
10.0,31122,CALLE UNAMUNO,7.0,120.0,E0011,376256.246895,3149048.44789,-16.2639266017,28.4621417839
11.0,31211,CALLE ALCALDE GARCIA RAMOS,3.0,120.0,E0012,375804.393495,3148645.84681,-16.2684975501,28.4584655678
12.0,42561,CALLE NUÑEZ DE LA PEÑA,3.0,120.0,E0013,375412.53779,3148422.0619,-16.2724748531,28.4564086576
13.0,31772,CALLE SANTA MARIA SOLEDAD,3.0,120.0,E0014,374097.118019,3148925.21473,-16.285962099,28.460823009
14.0,51374,CALLE BARRANCO GRANDE,9.0,120.0,E0015,371793.682928,3146238.72292,-16.3091855424,28.4363547867
15.0,44672,CALLE PEDRO DOBLADO CLAVERIE,5.0,120.0,E0017,374193.242608,3147916.45683,-16.2848704016,28.4517288345
16.0,45644,CALLE CARDENAL CISNEROS,3.0,120.0,E0018,374615.021067,3148152.27322,-16.2805892877,28.453897549
17.0,43966,CALLE DOMINGO SALAZAR COLOGAN,2.0,120.0,E0019,374391.40483,3148645.07382,-16.2829263657,28.4583232778
18.0,10563,AVDA JOSE MARTI,2.0,120.0,E0020,378283.783597,3151156.37073,-16.2434439945,28.4813556399
19.0,50421,AVDA DE TINCER,4.0,120.0,E0021,372285.78178,3147124.26456,-16.3042595486,28.4443944756
20.0,50587,CALLE MARIA DE LA PAZ,4.0,120.0,E0022,372414.040207,3146455.24586,-16.3028760198,28.4383695477
21.0,50974,CALLE GANSO,3.0,120.0,E0023,370548.121922,3146603.2012,-16.321942781,28.4395210336
22.0,82217,CALLE ANTONIO MACHADO,2.0,120.0,E0024,375903.971974,3148874.84033,-16.2675053446,28.4605415922
23.0,42561,CALLE NUÑEZ DE LA PEÑA,6.0,120.0,E0025,375399.36494,3148387.00077,-16.2726055771,28.4560909916
24.0,10799,PASEO LAS RETAMAS,3.0,120.0,E0026,373928.403833,3147924.32611,-16.2875755132,28.4517742845
25.0,57711,PSAJE LOS BANQUITOS,3.0,120.0,E0028,386963.235075,3155938.08638,-16.1552607345,28.5252914934
26.0,41051,CALLE REVERENDO ONESIMO BETANCORT,3.0,120.0,E0029,378864.948314,3151885.52518,-16.2375847311,28.4879900837
27.0,40933,CTRA TAHODIO,3.0,120.0,E0030,377859.60308,3151759.33946,-16.247840528,28.4867574443
28.0,59072,CALLE AGANA,2.0,120.0,E0031,372081.800538,3144985.2104,-16.3061051258,28.4250708845
29.0,57862,CALLE SAN BORONDON,1.0,3000.0,E0032,372756.79455,3147133.7364,-16.2994514734,28.444525963
30.0,10107,CALLE EL REMANSO,1.0,3000.0,E0033,374433.402853,3147390.72288,-16.2823608918,28.44700752
31.0,30366,CALLE SANTIAGO CUADRADO,1.0,3000.0,E0034,376426.76566,3149901.79487,-16.2622767819,28.4698589688
