FID,CODCALLE,TEXTO,GRUPO,CAPACIDAD,PTO_REC,UTM_X,UTM_Y,GRAD_X,GRAD_Y
0.0,11044,CALLE RAMON Y CAJAL,1.0,800.0,P0001,376626.946852,3149495.93126,-16.2601889125,28.4662152178
1.0,20395,CALLE LEGAZPI,3.0,120.0,P0002,376511.98513,3148712.38144,-16.2612789861,28.4591331967
2.0,20623,CALLE JOSE HERNANDEZ ALFONSO,1.0,800.0,P0003,377227.672494,3148810.77729,-16.2539810377,28.4600887396
3.0,10273,RBLA DE SANTA CRUZ,1.0,800.0,P0004,377595.735678,3150451.81729,-16.2503967755,28.4749329388
4.0,10114,CALLE LA ROSA,1.0,360.0,P0005,377692.773368,3150108.0623,-16.2493691951,28.4718398254
5.0,30896,CALLE FEBLES CAMPOS,4.0,120.0,P0007,376090.656334,3149855.07974,-16.2657043624,28.4694054863
6.0,22301,CALLE SAN JUAN DE LA RAMBLA,2.0,800.0,P0008,374920.111871,3149933.64185,-16.277667296,28.4700026823
7.0,22301,CALLE SAN JUAN DE LA RAMBLA,5.0,120.0,P0009,374923.852021,3149932.89382,-16.2776290177,28.4699962906
8.0,21963,CALLE GUIA DE ISORA,1.0,800.0,P0010,375426.505368,3150332.13812,-16.27253873,28.4736473763
9.0,21963,CALLE GUIA DE ISORA,2.0,120.0,P0011,375426.754712,3150328.89666,-16.2725358328,28.4736181477
10.0,21963,CALLE GUIA DE ISORA,1.0,800.0,P0012,375400.573663,3150300.9702,-16.2728002011,28.4733636248
11.0,21963,CALLE GUIA DE ISORA,2.0,120.0,P0013,375399.57629,3150296.98071,-16.2728099558,28.4733275265
12.0,32237,CALLE ELADIO ROCA Y SALAZAR,1.0,800.0,P0014,375086.640133,3149389.04373,-16.275907541,28.4651039604
13.0,31122,CALLE UNAMUNO,1.0,800.0,P0015,376257.742955,3149056.42688,-16.2639121806,28.4622139321
14.0,31122,CALLE UNAMUNO,4.0,120.0,P0016,376257.244268,3149051.68935,-16.2639167645,28.4621711311
15.0,31211,CALLE ALCALDE GARCIA RAMOS,1.0,800.0,P0017,375806.43821,3148647.378,-16.2684768352,28.4584795807
16.0,42561,CALLE NUÑEZ DE LA PEÑA,1.0,800.0,P0018,375410.226873,3148424.835,-16.2724987506,28.4564334626
17.0,31772,CALLE SANTA MARIA SOLEDAD,1.0,800.0,P0019,374095.024383,3148922.77215,-16.285983212,28.4608007641
18.0,51374,CALLE BARRANCO GRANDE,1.0,800.0,P0020,371787.40202,3146243.60807,-16.3092502093,28.4363982552
19.0,51374,CALLE BARRANCO GRANDE,5.0,120.0,P0021,371791.240353,3146240.81656,-16.3092107121,28.4363734405
20.0,56584,CALLE DOCTOR RAFAEL FOLCH YOU,1.0,800.0,P0022,383042.852665,3154050.34455,-16.1951287487,28.5079086726
21.0,56584,CALLE DOCTOR RAFAEL FOLCH YOU,4.0,120.0,P0023,383042.511832,3154044.56591,-16.195131643,28.5078564917
22.0,40202,CALLE SAN JUAN EVANGELISTA,1.0,800.0,P0025,379963.326588,3152383.22809,-16.2264171092,28.4925833168
23.0,44672,CALLE PEDRO DOBLADO CLAVERIE,1.0,800.0,P0026,374186.585106,3147918.20881,-16.2849385722,28.4517440031
24.0,45644,CALLE CARDENAL CISNEROS,1.0,800.0,P0027,374604.194295,3148155.22598,-16.2807001628,28.4539231553
25.0,45644,CALLE CARDENAL CISNEROS,2.0,120.0,P0028,374609.443639,3148153.91364,-16.2806464182,28.4539118167
26.0,10563,AVDA JOSE MARTI,1.0,120.0,P0029,378281.158925,3151159.65157,-16.2434711497,28.4813850027
27.0,57877,CALLE DECANO CONSULAR JESUS RAMOS GONZALEZ,1.0,800.0,P0030,372801.617068,3144611.09392,-16.2987158014,28.4217650051
28.0,57877,CALLE DECANO CONSULAR JESUS RAMOS GONZALEZ,6.0,120.0,P0031,372806.016453,3144611.77075,-16.298670967,28.4217715415
29.0,50421,AVDA DE TINCER,2.0,800.0,P0032,372280.705565,3147132.3865,-16.3043122769,28.4444672742
30.0,50421,AVDA DE TINCER,3.0,120.0,P0033,372283.41288,3147127.98711,-16.3042841476,28.4444278375
31.0,50587,CALLE MARIA DE LA PAZ,1.0,800.0,P0034,372410.31765,3146458.29159,-16.3029143624,28.4383966697
32.0,50974,CALLE GANSO,1.0,800.0,P0035,370542.707293,3146604.55486,-16.3219982142,28.4395327124
33.0,51923,CALLE CONVENTO,1.0,800.0,P0036,369255.23295,3146731.37904,-16.3351571642,28.4405488821
34.0,10114,CALLE LA ROSA,2.0,120.0,P0037,377693.830836,3150110.44962,-16.2493586487,28.4718614691
35.0,82217,CALLE ANTONIO MACHADO,1.0,800.0,P0038,375900.960055,3148878.06739,-16.2675364494,28.460570428
36.0,42561,CALLE NUÑEZ DE LA PEÑA,1.0,800.0,P0039,375396.890864,3148387.43104,-16.2726308874,28.4560946383
37.0,42561,CALLE NUÑEZ DE LA PEÑA,5.0,120.0,P0040,375393.341103,3148387.43104,-16.2726671355,28.4560942992
38.0,10799,PASEO LAS RETAMAS,1.0,800.0,P0041,373927.543285,3147920.59591,-16.2875838923,28.4517405385
39.0,10799,PASEO LAS RETAMAS,2.0,120.0,P0042,373925.996554,3147917.76703,-16.2875993766,28.45171486
