FID,CODCALLE,TEXTO,CAPACIDAD,GEOCODIGO,NOTAS,UTM_X,UTM_Y,GRAD_X,GRAD_Y
0.0,13107,VIA TRANSVERSAL 1 DARSENA PESQUERA,2700.0,CT 2566,CT A DARSENA PESQUERA / CAFET. HOBBY NAUTICA,382367.638248,3153112.40895,-16.2019312524,28.4993832945
1.0,13108,VIA DE SERVICIO DARSENA PESQUERA,2700.0,CT 2822,CT A DARSENA PESQUERA / ROTONDA / ESTACION CEPSA,381691.361891,3152798.87707,-16.2088077298,28.4964925137
2.0,13119,VIA DE SERVICIO PASO ALTO,2700.0,CT 2539,AV ANAGA-CT A SAN ANDRES / CASA DEL MAR (FRENTE),378562.734722,3151175.45247,-16.240596812,28.481553871
3.0,13122,VIA DE SERVICIO MUELLE RIBERA,2500.0,SC S/N,VIA DE SERVICIOS MUELLE RIBERA / EDIF. PUERTO CIUDAD,377952.000757,3150073.92341,-16.2467180833,28.471556035
4.0,13126,VIA TRANSVERSAL 1 LOS LLANOS,2700.0,CT 2044,AV DE LA CONSTITUCION / CT ACCESO AL PUERTO / AUDITORIO,377577.255604,3148382.79525,-16.2503656826,28.4562592634
5.0,01053,VIA DARSENA PESQUERA CUATRO,3000.0,CT 0006,CT A DARSENA PESQUERA / TRANSFORMADOR / FRIG. JAIME LLORCA,382110.462732,3153048.90882,-16.2045520081,28.498786969
6.0,13133,CAMINO PRINCIPAL JAGUA,2500.0,PL B,CT A PUNTO LIMPIO DE  JAGUA / PUNTO LIMPIO,381875.088378,3153266.77436,-16.206978914,28.5007317919
7.0,13133,CAMINO PRINCIPAL JAGUA,2500.0,PL T,CT A PUNTO LIMPIO DE  JAGUA / PUNTO LIMPIO,381878.077475,3153264.90617,-16.2069481856,28.5007152034
8.0,13133,CAMINO PRINCIPAL JAGUA,2500.0,PL V,CT A PUNTO LIMPIO DE  JAGUA / PUNTO LIMPIO,381880.319298,3153261.54344,-16.2069249379,28.5006850594
9.0,10714,PLAZA CONCEJAL ANTONIO COVA DOMINGUEZ,2700.0,CT 2561,CL EL CERCADO / INSTITUTO MARITIMO PESQUERO (DETRµS),383101.912081,3153916.11619,-16.1945117093,28.5067026132
10.0,10714,PLAZA CONCEJAL ANTONIO COVA DOMINGUEZ,2700.0,CT 2020,"AV PEDRO SCHWARTZ, 75 / OFIC. DESCENTRALIZADA MUNICIPAL",383171.782231,3153917.98437,-16.1937980651,28.5067257461
